skill_match_ratio,experience_diff,cosine_similarity,education_match,target_score
0.5125,1.96,0.6258,0,46.82
0.6989,0.03,0.7581,0,50.02
0.2675,-5.0,0.463,0,3.52
0.5905,3.48,0.6335,1,66.47
0.4906,-1.19,0.5726,0,32.83
0.2663,-2.37,0.4264,1,29.54
0.8649,2.46,0.7556,0,70.24
0.2169,-1.52,0.4577,1,25.4
0.8955,-0.46,0.8125,1,78.86
0.4948,2.72,0.6374,0,40.21
0.5924,-0.9,0.5378,1,59.81
0.6994,2.17,0.721,0,50.83
0.5279,-3.29,0.5618,0,32.04
0.7391,-1.15,0.6875,0,50.66
0.0764,-0.7,0.273,1,19.65
0.5695,-2.91,0.6188,1,52.6
0.6803,-1.07,0.7969,1,66.1
0.865,3.59,0.819,1,86.93
0.4965,-0.53,0.5939,1,52.87
0.7188,-0.08,0.6214,0,46.79
0.9373,-1.13,0.6757,1,77.32
0.5858,-0.87,0.6005,1,62.18
0.6079,-2.37,0.5083,1,57.3
0.664,1.88,0.6925,1,71.55
0.7112,0.39,0.665,0,45.52
0.7709,0.44,0.7101,1,72.53
0.6786,-3.52,0.6745,1,59.03
0.2196,1.24,0.402,0,10.7
0.4149,-1.29,0.6574,1,53.38
0.5595,1.71,0.5087,0,39.78
0.6809,-0.02,0.5371,1,63.16
0.4874,-2.85,0.6235,0,28.38
0.2437,2.65,0.3788,1,29.49
0.2605,-0.2,0.4209,1,30.12
0.278,2.92,0.3723,1,28.05
0.7233,1.7,0.7416,1,68.55
0.3403,-1.63,0.3751,0,21.8
0.6175,5.64,0.5491,1,62.77
0.7206,-0.24,0.7053,1,72.79
0.7142,6.57,0.7274,1,75.1
0.2948,5.72,0.5695,0,15.95
0.3138,1.32,0.5465,1,46.3
0.5873,-0.52,0.5852,0,37.26
0.8447,7.05,0.6756,1,78.36
0.6397,4.9,0.6807,1,69.74
0.811,-1.5,0.741,1,71.88
0.7946,1.03,0.7134,0,58.96
0.1367,-1.06,0.3604,1,26.74
0.4007,-2.34,0.5419,1,49.33
0.4015,0.71,0.6336,1,54.31
0.8201,-0.7,0.7796,0,62.34
0.624,-2.08,0.675,1,58.36
0.8616,-1.46,0.8419,1,82.27
0.1945,-1.14,0.4754,0,11.35
0.7878,-1.74,0.6522,1,70.71
0.8742,-1.24,0.8274,1,80.78
0.7,-3.41,0.5861,0,43.33
0.38,1.34,0.5343,1,46.93
0.4529,2.03,0.5413,1,51.95
0.5846,3.2,0.5165,1,63.68
0.5931,3.23,0.7035,1,66.3
0.5844,-1.55,0.744,1,63.03
0.5241,-4.75,0.6777,0,31.27
0.4344,-2.15,0.6574,0,32.72
0.1888,3.85,0.4362,1,26.85
0.8014,-0.34,0.7682,1,80.25
0.6786,1.66,0.5948,1,73.11
0.8146,4.89,0.8739,1,85.45
0.7676,2.06,0.7089,0,55.69
0.7942,1.13,0.8024,0,60.88
0.6477,0.01,0.6837,0,47.26
0.6817,0.06,0.551,1,58.66
0.7401,-2.11,0.6765,1,65.15
0.4497,-0.53,0.4732,0,25.98
0.6109,1.25,0.5427,1,60.41
0.8847,2.79,0.7426,1,77.62
0.0416,2.54,0.2897,1,22.16
0.3716,0.37,0.6407,1,48.9
0.933,-1.81,0.7738,1,85.05
0.5711,1.24,0.4928,1,54.88
0.7347,-1.59,0.7394,1,67.55
0.317,-1.29,0.4559,1,41.96
0.8277,2.2,0.7264,1,78.1
0.4449,-4.72,0.4979,1,41.61
0.7454,-1.17,0.7044,1,70.94
0.3737,-0.82,0.6166,0,28.79
0.2407,1.04,0.3803,1,28.19
0.0596,0.39,0.2989,1,20.0
0.4813,-2.33,0.6791,1,51.53
0.3065,0.06,0.522,1,47.27
0.6246,0.34,0.684,1,64.16
0.6222,-1.72,0.7186,1,64.83
0.8029,-0.07,0.676,0,50.84
0.6942,1.31,0.59,1,65.63
0.6733,-3.58,0.7363,1,62.39
0.1707,3.34,0.3054,1,24.63
0.2858,-0.15,0.4755,1,35.05
0.2,2.78,0.4185,1,30.81
0.6928,3.68,0.6637,1,72.06
0.5266,4.29,0.6378,1,62.62
0.7733,-2.6,0.7201,1,68.98
0.2273,1.72,0.3012,1,27.78
0.8526,-2.99,0.6827,1,68.13
0.9498,3.5,0.7853,0,70.64
0.1192,1.62,0.3634,1,22.47
0.8074,-0.36,0.7577,1,79.62
0.5163,1.06,0.4091,0,36.96
0.433,-0.22,0.4754,1,51.21
0.8951,-0.49,0.6963,0,57.95
0.225,1.06,0.4791,1,33.13
0.6186,5.05,0.6164,0,49.07
0.7062,0.04,0.7132,0,56.05
0.3519,2.4,0.6142,1,48.62
0.617,-1.27,0.7078,0,44.46
0.6572,1.4,0.6969,1,63.81
0.9263,-0.25,0.7127,0,58.78
0.3513,4.64,0.4633,0,29.52
0.4114,-4.27,0.6317,1,42.09
0.5874,0.41,0.6506,1,60.86
0.854,2.62,0.5995,1,78.33
0.6635,-1.28,0.5061,0,40.02
0.0658,-2.59,0.3449,1,18.57
0.7485,-1.24,0.8475,1,70.21
0.6311,-2.79,0.7092,0,41.12
0.8888,-0.75,0.8302,0,68.87
0.4176,-2.49,0.6012,1,48.95
0.7813,2.28,0.6246,1,76.38
0.9376,0.96,0.8497,0,74.76
0.7864,-1.19,0.7794,1,71.62
0.6197,4.67,0.7627,0,47.42
0.8736,2.3,0.83,0,65.44
0.7913,-1.62,0.8352,1,73.3
0.8286,5.28,0.712,0,59.33
0.4341,-3.67,0.6234,0,24.61
0.4735,-4.14,0.5693,0,26.85
0.5962,-1.7,0.5709,0,42.41
0.8864,3.43,0.6299,1,80.27
0.4881,2.7,0.6262,1,54.52
0.2508,0.84,0.4866,1,37.32
0.0867,-0.33,0.3308,1,20.38
0.3986,1.35,0.4538,0,25.54
0.195,1.04,0.3252,0,12.53
0.4131,0.5,0.4904,1,44.07
0.4255,0.37,0.4554,1,45.89
0.5428,-1.76,0.6511,0,35.48
0.6805,2.78,0.5506,0,48.43
0.526,-2.86,0.6372,1,50.36
0.7113,-2.07,0.7896,0,53.67
0.3444,0.16,0.5068,0,24.6
0.4901,1.65,0.4912,0,30.26
0.8351,-2.89,0.9187,1,78.11
0.6042,4.13,0.7769,1,66.68
0.4104,-1.32,0.5322,1,45.8
0.425,-1.54,0.54,1,47.7
0.6947,0.31,0.6216,0,48.01
0.4041,6.18,0.4899,0,33.86
0.622,-5.0,0.657,1,52.71
0.5236,-0.88,0.5762,1,54.12
0.7821,0.31,0.7562,1,76.34
0.3804,1.67,0.6169,1,51.24
0.5538,-2.69,0.7166,1,57.92
0.8517,-0.47,0.7354,1,74.15
0.2484,0.55,0.3429,1,27.72
0.4007,3.06,0.6887,1,56.8
0.5277,0.63,0.5054,1,55.45
0.4194,-4.76,0.4416,1,41.14
0.5141,4.33,0.6359,1,57.44
0.375,-0.84,0.3939,0,31.37
0.6047,0.61,0.6367,1,57.95
0.7367,4.78,0.5654,0,53.6
0.7573,1.56,0.5397,1,70.68
0.1778,-0.95,0.3039,0,0.83
0.2506,5.14,0.6434,1,33.18
0.8018,1.33,0.8571,1,84.38
0.6874,4.17,0.6462,1,68.16
0.2669,-4.1,0.4442,0,6.97
0.524,-2.75,0.6564,1,58.67
0.6925,1.07,0.7668,0,55.0
0.5692,0.99,0.5673,1,56.65
0.6493,5.3,0.5593,1,63.03
0.3758,-0.49,0.6136,0,33.6
0.951,-1.93,0.9036,0,69.52
0.3273,0.5,0.5434,1,47.42
0.3795,0.05,0.5404,0,31.44
0.8564,-0.21,0.8135,1,87.01
0.1742,-1.59,0.4569,1,23.08
0.4956,2.36,0.452,1,50.55
0.3842,1.15,0.5283,1,47.15
0.6043,1.41,0.81,1,66.9
0.6529,3.48,0.5585,0,49.13
0.321,2.68,0.5208,1,45.83
0.606,-2.3,0.6018,0,36.08
0.2527,1.16,0.4693,0,15.84
0.5669,-0.93,0.6384,1,58.56
